Date,Author,Verified,Helpful,Title,Body,gpt_status,gpt_reason,BEN ANALYSIS,PAUL ANALYSIS,PATRICK ANALYSIS,DREW ANALYSIS,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on February 25, 2019",Sam,yes,yes,So upset about this.,Followed the instructions to a T. The casting (step 1) Hardened in like 2 seconds and I wasnt able to put mine and my daughters hand in to mold. Waste.,Not in violation,No violation of Amazon guidelines,,not in Violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/R1KAMYJ14XZR5G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on December 15, 2016",Smada,yes,yes,Horrible instructions,"The instructions should say to put your hands in before the molding mixture turns to off-white. There was NO time to get a decent mold of our hands; it was already setting up as we were pouring it into the bucket that was entirely too small for mine and my husband's hands. So disappointed in this product, as it was supposed to be an anniversary gift for us. They cheaped out on the bucket size- to save money, maybe? It needed to be a little larger, and there should've been more of the molding mixture too. Going to be reaching out to the company about their instructions and see what they will do for me. Poor execution of a great idea.",Not in violation,No violation of Amazon guidelines,,not in Violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/R3EQLWI6H4UMUI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on January 31, 2020",Nicole NavarroNicole Navarro,yes,yes,DONT PURCHASE HUGE DISAPPOINTMENT,"I’m furious. After days of having it dry, it became all powdery. I am fuming!! This was a gift for my parents and they loved it and now it’s crap!! I want my refund!! This is so disappointing I want to cry.",Violation,Profanity or harassment,"I would make this a maybe. There is no profanity or harassment. Contextually, the use of crap here is okay, but if someone were to say ""the seller is a piece of crap"" then it could qualify as a violation.","Not a violation. The word ""crap"" was used but it's not used in a harrassing manner",,,1,https://images-na.ssl-images-amazon.com/images/I/719cz34d0JL.jpg,-,https://www.amazon.com/gp/customer-reviews/R1ALEKQ08ZS1Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on January 24, 2019",NeelamNeelam,yes,yes,Broke in 5mints. Waste of money.,This did not work for us. I bought this for my sons first birthday and his fingers broke. I was very very careful as I know baby fingers are delicate. It had so many cracks. Would not recommend this product.,Not in violation,No violation of Amazon guidelines,,not in Violation,,,1,"https://images-na.ssl-images-amazon.com/images/I/71D0Kw5wczL.jpg , https://images-na.ssl-images-amazon.com/images/I/71VwSEJPIYL.jpg",-,https://www.amazon.com/gp/customer-reviews/R1T2L2AXMA5NH1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on August 4, 2019",Linda McMahon,yes,yes,Don't recommend.,The second step mixture hardened in less tha 2 minutes and rendered it unusable.  My daughter-in-law ended up with a base to put nothing on. We re read the instructions thinking we made an error  but we didn't. I would not recommend this  item. She waited to do it until I came to visit on vacation and by then it was too late to return it.,Not in violation,No violation of Amazon guidelines,,Not in Violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/R2ZQUH5IE3IS6E/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on August 20, 2019",Danielle Rivera,yes,yes,Not worth the money... mold!,"I purchased 2 of these, did not read the reviews before hand. 1 was a gift for my mother and 1 was a gift for my husband. Both done about a month a part from each other in completely different cities and both developed mold on them. I’ve sprayed them with a bleach solution in hopes the mold goes away but I don’t have high hopes. It’s a shame because the cast comes out beautiful and very detailed. Absolute waste if they all get mold on them",Not in violation,No violation of Amazon guidelines,,Not in Violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/RSKY7AMPFE2ML/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01NA77CNO,Size: XL Family Casting Kit (6 Hands)
"Reviewed in the United States on December 25, 2020",DavidDavid,yes,yes,Disappointed on Christmas day!,"My wife wanted this for Christmas. It became out of stock until ""after Christmas"", and then quickly became available again, so I purchased it.Two adults followed the directions with two adult children assisting. We set a 2min timer per the directions, set it again, set it again, and then set it for a 4th time. Over 8min in and the mixture was still pink. We waited another minute or two (well over 10min) and still nothing.About 5-6min after we finally pulled our hands out (a MINIMUM of 15min after the process started) it finally got lighter, and then eventually white/hardened. Obviously, as the directions state, it was too late to try again.The water temperature was right.The mixture was mixed per the instructions.Two 40+ adults were using it with four extra [young adult hands] and it just didn't work. I'm wondering if the haste to fill more orders before Christmas means that the product wasn't up to snuff.$42.95 wasted, at Christmastime no less.",Not in violation,No violation of Amazon guidelines,,Possibly; mentions a Comments about pricing or availability,"Correct; however, why did the AI pick up other money references in violation but not this one?",,1,"https://images-na.ssl-images-amazon.com/images/I/A1f6U2B7CjL.jpg , https://images-na.ssl-images-amazon.com/images/I/C1LMRmUB2sS.jpg",-,https://www.amazon.com/gp/customer-reviews/RILGAX0DX2KZZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on October 28, 2017",Amazon CustomerAmazon Customer,yes,yes,Mold!!!!!,"Came out very nice we all loved it. 2 days pass n black spots here n there. Now wat looks like peace fuzz all over. Sad to have to throw away... would not buy again and ill tell ppl i recommended to try, not to spend there money",Violation,Profanity or harassment,Not in violation. There is nothing profane or harassing about this.,Not in violation. The person just can't write or spell,,,1,"https://images-na.ssl-images-amazon.com/images/I/611QJnyLDeL.jpg , https://images-na.ssl-images-amazon.com/images/I/615UDKqIPkL.jpg , https://images-na.ssl-images-amazon.com/images/I/61Mg7CI7CaL.jpg , https://images-na.ssl-images-amazon.com/images/I/61OQHKsMmbL.jpg",-,https://www.amazon.com/gp/customer-reviews/R1GM9ASY847JGM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01NA77CNO,Size: XL Family Casting Kit (6 Hands)
"Reviewed in the United States on May 30, 2018",Christopher Hurley,yes,yes,"This was a complete fail. Was so lumpy,","This was a complete fail. Was so lumpy, couldn’t get it mixed up fast enough before it started getting hard",Not in violation,No violation of Amazon guidelines,,Not in violation,"Correct; however, why did the AI pick up other money references in violation but not this one?",,1,-,-,https://www.amazon.com/gp/customer-reviews/R2J3DE63WNTIGL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on November 7, 2016",Mark Candee,yes,yes,We wasted our money,"We wasted our money. We started the first step and it was so lumpy and set in about 1 minute we didn't even get a chance to put our hands in it. I would never even try this again. Great idea but aweful. Also the bucket size needs to be bigger as it is very tight. We practiced our hands being in the bucket a long time so we would have it right. But again, didn't even get that opportunity to do it.",Not in violation,No violation of Amazon guidelines,,Not in violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/RMO9TNJ1YIS70/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on October 3, 2016",StacyM12,yes,yes,Impossible with kids,Incredibly hard to do.. timing and texture has to be just right and you have like a 15 sec window of time to get hand in there... impossible with young kids,Not in violation,No violation of Amazon guidelines,,Not in violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/R13JW9WADN15RU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on June 8, 2020",DiamondDiamond,yes,yes,Molded in summer,"I would have given 5 stars, because it was beautiful. Then it molded and customer service suggested I use bleach to clean it. I explained to them that due to the pandemic I have run out of bleach and havent been able to find it. Then, they suggested a bathroom cleaner. I wouldn't purchase again and as far as I'm concerned it's a waste of money when you live in a humid climate. Even with the ac on it's still humid. Before purchasing keep that in mind, because I imagine it will have to be cleaned often. I still had the bucket it came in hadn't had a chance to file it, picture attached. Good luck",Not in violation,No violation of Amazon guidelines,,"Possibly in violation, mentions customer service","Correct; however, why did the AI pick up other money references in violation but not this one?",,1,https://images-na.ssl-images-amazon.com/images/I/61kS-jvGL4L.jpg,-,https://www.amazon.com/gp/customer-reviews/R1S0VKZY2C331I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on November 2, 2016",Amazon Customer,yes,yes,I was SO disappointed! The directions should say pour when pink,"I was SO disappointed! The directions should say pour when pink. I followed the directions, and as I was pouring the gray into the bucket it was already hardening, NO time to put mine and my dying husband's hands in. Too late for us.",Not in violation,No violation of Amazon guidelines,,Not in violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/R1GPSJRXGAGGFQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on October 5, 2020",Amazon Customer,yes,yes,Moldy! After 10 days. It is gross!,Very disappointed. After 10 days it is molding!!!!!!! Do NOT buy!,Not in violation,No violation of Amazon guidelines,,Not in violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/R3JGGUROLBTII0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on June 15, 2018",Amazon Customer,yes,yes,Mold growth,It was great to make but after a few days it started to grow mold so it was thrown away.,Not in violation,No violation of Amazon guidelines,,Not in violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/RWJ5P4MX3EYDE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on February 2, 2018",Jessica,yes,yes,One Star,Horrible!! Followed the directions and it molded!!!,Not in violation,No violation of Amazon guidelines,,Not in violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/RMB1NRFW18K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on October 10, 2021",Anonymous2022,yes,yes,Read my review,"If you plan to do this with your husband and yourself or wife/wife, or husband and husband… dont. Exit out and go get the XXL bucket instead. If you look at the pics from other people, they were told the wrong info like us and half their hands were cut out. This bucket is not meant for a large hand and small hand. Our bottom half of our hands did not get covered with mold so we only got half our hand molded. This was supposed to be for anniversary and instead we now have to do it again and spend more money on a bigger bucket. I’m very disappointed in this when the maker of this product says it can fit up to 2 adult hands and 1 child hand. Complete nonsense. It works best if you do wet your hand with water and then baby oil it up. If you decide to wear wedding rings, and don’t want to scratch the mold coming out, make sure the person with the flatter ring goes out first, because then you can push just slightly in after wiggling your hand and then pull it out gently without scraping up your mold. If you have any questions, there are some good YouTube videos. Well, disappointed especially about the false information. Maybe we will buy a bigger molding bucket from someone else.",Not in violation,No violation of Amazon guidelines,,Not in violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/R3LGZFOJTDMKSI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on September 7, 2020",kimberleykimberley,yes,yes,Two tries and still no good,This is our second attempt. The first try had bubbles and cracks and cut my finger tips off even though I thought my fingers were properly placed. We tapped and moved the the concrete around and all. Round 2. We got distilled thinking that would help and used someone else to lessen the bubbles. NO LUCK. This one wasn't any better so we're just dressing them up and using them as expensive halloween decorations. Nothing else to do with them.,Not in violation,No violation of Amazon guidelines,,Not in violation,,,1,"https://images-na.ssl-images-amazon.com/images/I/718uiOjla7L.jpg , https://images-na.ssl-images-amazon.com/images/I/71QdbZ8MR+L.jpg",-,https://www.amazon.com/gp/customer-reviews/R2C08N2KEYE6HX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in Canada on August 9, 2021",Amazon Customer,yes,yes,Luna bean keepsake hands kit,"I have purchased 2 of these prior to this order. They were fantastic. When I started mixing the mold for the hands, I only mixed it for about 2 minutes and it started to harden. This resulted in it hardening before we could get the hands in the mixture. I had to thro it away. I would appreciate getting my money back and I am waiting for my 4th kit to arrive.",Not in violation,No violation of Amazon guidelines,,Not in violation,,,1,-,-,-,B01NA77CNO,Size: XL Family Casting Kit (6 Hands)
"Reviewed in the United States on January 27, 2020",Amazon Customer,yes,yes,TERRIBLE PRODUCT,"Would never buy again. Making the mold itself was terrible it started to harden way too quickly that it messed up everything. There weren't any sort of instructions at all. Definitely would not recommend to anyone. This product was a waste of money. So just a bit of advise, don't waste your time and money on this product.",Not in violation,No violation of Amazon guidelines,,Not in violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/R2G7IC9OGFIJ5J/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on November 8, 2017",brandon zirbel,yes,yes,Glad I wasted 32 dollars to end up with a ...,"Glad I wasted 32 dollars to end up with a bucket of hardened jello that cured in literally 15 seconds, we mixed it up, set it on the floor and grab each others hands, which took maybe 10 to 15 seconds and tried to put our hands in it and it was completely hardened and cured. So now we have nothing to show for it but a loss of 32 dollars. Thanks you very much!",Not in violation,No violation of Amazon guidelines,,Possibly; comments about pricing,,,1,-,-,https://www.amazon.com/gp/customer-reviews/RWIVN038GAOX7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on June 27, 2018",jennifer,yes,yes,Disappointed..Not as easy as they say..,Product was used for my best friends dying mother.. we followed the directions and both times (because we bought two) we added water and stirred and one minute into stirring mixture from powder it turned into a solid both batches.. I’m very disappointed as we were unable to cast their hands.. I’d like amazon to send me two new ones please before her mom passes,Violation,Profanity or harassment (using emotional manipulation to request free products),Not in violation. Emotional manipulation doesn't appear in the guidelines. Certainly not profane or harassing,"Not in violation, no profanity or harrassment ",,,1,-,-,https://www.amazon.com/gp/customer-reviews/RAU92TEKRA1OM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on July 16, 2020",Brandon V.,yes,yes,Not great,I was absolutely devastated. It says use cold water which we did but the mold all became clumpy and almost instantly went hard and became grey in color. My kids were so sad and devastated as well.. PEOPLE PLEASE USE VERY COLD WATER!!,Not in violation,No violation of Amazon guidelines,,Not in violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/R2ALIJRQ1G0IRS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01NA77CNO,Size: XL Family Casting Kit (6 Hands)
"Reviewed in the United States on December 13, 2017",Michele K.,yes,yes,After reading the directions and following them carefully- mold started ...,After reading the directions and following them carefully- mold started growing on it within two days.  I ended up using a bleaching pen to kill the mold.,Not in violation,No violation of Amazon guidelines,,Not in violation,,,1,-,-,https://www.amazon.com/gp/customer-reviews/R1VOK22OXNUOCS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on June 27, 2018",SarahSarah,yes,yes,Disappointed— fungus started growing after 1 week,It turned out very good ... but after one week fungus started growing.I do not suggest it to anyone..,Not in violation,No violation of Amazon guidelines,,Not in violation,,,1,https://images-na.ssl-images-amazon.com/images/I/61xFVq4fK9L.jpg,-,https://www.amazon.com/gp/customer-reviews/R2VD0CRM7OZINC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on June 7, 2022",Lisa KLisa K,yes,yes,Horrible,"I purchased this, along with two of the smaller Luna Bean casting kits to do before my mom passed away. This one and one smaller one didn’t work. This just collapsed after it set firmly and we each took our hands out (followed all the instructions to a T), then another kit broke several fingers off even though they weren’t “floating”. We never got to get our family hands together as my mom passed away, but we got my parents holding hands. I’m still trying to fix the plaster in areas where it didn’t capture their hands correctly or parts didn’t come out. And using the plaster set aside for fixing holes and filling in areas like broken finger tips and missing jewelry, the plaster is coming out a COMPLETELY different color than the hands and there’s nothing I can do now. I have photos of the two kits that were just garbage and the useless blobs they set as, and how the one small kit of hands came out. I also took pictures of the barcodes on each bucket.  Since we can’t recast as my mothers passed away, I would like a refund on this and one of my small ones I purchased. Thank you",Not in violation,No violation of Amazon guidelines,,Not in violation,,,1,https://m.media-amazon.com/images/I/61l21oJhmSL.jpg,-,https://www.amazon.com/gp/customer-reviews/RNPFJFL7FLHO5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01NA77CNO,Size: XL Family Casting Kit (6 Hands)
"Reviewed in the United States on January 11, 2023",Wayne R JacksonWayne R Jackson,yes,yes,Mold growing on it,"We have bought 3 different hand mold kits from 3 different brands, this one by far was the worst. The mold mixture was very bubbly after mixing. The details of the hands were very minimal compared to the other brands. What's worst, is now after 3 weeks of doing the hands the plaster is growing mold!? The other 2 (different brands) are totally fine, but this one has mold growing on it!  GROSS! Total waste!",Not in violation,No violation of Amazon guidelines,,Not in violation,,,1,https://m.media-amazon.com/images/I/614PhROLRPL.jpg,-,https://www.amazon.com/gp/customer-reviews/RLFRYK1FP1LC3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on August 8, 2021",NinaNina,yes,yes,Hurry or it sets,I spent $40 on this product for no reason. I mixed the mold mixture called my son into the kitchen and we went to put our hands into it and it was already set. We didn't even have a chance to get a mold of anything except for the bucket. I think you have to race and get your hands in there within a couple of seconds.  Waste of my money. The instructions did not tell me that I had a specific time limit. This picture shows me trying to add water to see if I can soften it up again and use it but to no avail,Not in violation,No violation of Amazon guidelines,,Possible; comments about pricing,,,1,https://m.media-amazon.com/images/I/C1lNA6aWa9S.jpg,-,https://www.amazon.com/gp/customer-reviews/RBNC5HPOATIR2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
"Reviewed in the United States on December 18, 2021",Renee Heiser,yes,yes,NEVER USE ON PETS!,This product was advertised for safe use on pets. It should NEVER be used on pets. While very carefully following instructions our dogs paw became stuck in the mold. It took two people pulling and ripping apart the mold to free his paw. We have a giant breed. I can’t imagine a small breeds limbs would have withstood this maneuvering. It then took a solid hour to pick off the remaining mold. DO NOT BUY!,Not in violation,No violation of Amazon guidelines,,Maybe. Misuse of product. Advertised for use on humans and they chose to use it on pets,,,1,-,-,https://www.amazon.com/gp/customer-reviews/R1F3INKDRUA7S0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01E4LWBLQ,B01E4LWBLQ,Size: Couples Casting Kit (2 Hands)
