Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on May 19, 2020",Mike Reed,yes,yes,"Fits great, but bleeds color even after washing.",Fits great. Easy to put on kid while standing. Definitely holds a poop. My only issue is that the diapers are bleeding a copper-orange color. It stained a brand new swimsuit. Not sure why it does this or how to fix it. I would give 5 stars otherwise.,3,-0,-0,https://www.amazon.com/gp/customer-reviews/R1POB6U071VDSW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on October 21, 2017",Sarah,yes,yes,Runs small for our son,Love the concept and looks adorable on my son. Would give a higher rating but found it ran really small or my son is an outlier and has a HUGE bottom. We don't really struggle with his clothing in sizes so I'm not sure what went wrong here,3,-0,-0,https://www.amazon.com/gp/customer-reviews/R2ANEU4LXFVOLI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01KW1L8HK,Color: Dark Green
"Reviewed in the United States on July 27, 2016",Pedro,yes,yes,One Star,Way too small.,1,-0,-0,https://www.amazon.com/gp/customer-reviews/R2V7JB62XLGYCA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on June 18, 2018",BTTL4ever ,-0,yes,Public Health Hazard Alert,"SORRY but babies should not be in swimming pools nor should anyone who has not bathed or showered before entering the water because cryptosporidium and other highly toxic and contagious pathogens are not killed by chlorine or other pool water disinfectants and there is no way to contain pathogens from fecal matter in the ""swim"" diaper inside of the diaper because the pool water circulates through the diaper and out for the general consumption of any other people in the pool. Maybe no one sees the poop the baby releases because they are too young to have any understanding of this bodily function or its appropriate place but there is NO EXCUSE FOR THE PARENTS to pollute the pool in order to prematurely introduce a baby to swimming. Help a child learn to love the water in a small family pool if you like where you can easily ""start fresh"" if they do what babies do. Also a baby is likely to swallow or get pool water in their mouths exposing them to pathogens which there is no good reason to put them in contact with. When they have mastered voluntary control of their bathroom habits, is plenty soon enough to begin to put them in communal bathing situations.",1,-0,-0,https://www.amazon.com/gp/customer-reviews/RYAYHYBN7K60U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01076JRQE,Color: Dark Blue Sea Friends
"Reviewed in the United States on September 28, 2015",Gordon,-0,yes,Great product,"The swim diapers are great, there are different patterns to choose from for boy or girl and plenty of snaps on the diapers to ensure tightness around the legs and waist and to allow them to grow with your child. They seem to be comfortable as our child has never complained with it on.",3,-0,-0,https://www.amazon.com/gp/customer-reviews/R3V0ZBRVFHAVSG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on June 8, 2016",Matt Schuster,yes,yes,"good for its function, may not fit 35pounds","We have a pool, so we need a reusable diaper. This is the first one I have ever tried and my 17month old has worn it 5-7 times now. We have yet to have a poopy incident, so I can not attest to its real function of keeping poop out of the pool. I like the snaps compared to other products which pull up (don't want to manage a poop while pulling a diaper down her legs :P ) but baby seems irritated when I try to apply the diaper. I have to snap the 2nd to last upper snap and last bottom snap to prevent red lines on her from diaper fitting too tight. She weights 24 pounds, so I'm concerned that this diaper wont fit her for the full 35pound advertised weight. I will probably try another brand to compare.",3,-0,-0,https://www.amazon.com/gp/customer-reviews/R1OT9GOZL5EVLJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on July 9, 2017",TNTV,yes,yes,Would be too small for 20-month-old and up.,"I purchased this swim diaper last year for my then 6-month old son. We have been having several occasions and great time using it and I loved it. Even though he's never had any accidents in it- can't say how good it'd hold, but I enjoyed having the non-disposable option to save money in the long run. I do wish we'd be able to used it until he's 3 years old as advertised but unfortunately, no. I loved the diaper so much until recently, for the last 3 times using it when my son at 19 month old with the average weight of 24-25lbs, I noticed the diaper got too snug around his thighs, leaving the indentations even we used the outermost buttons. I just hope to find its new replacement that's just as good.",3,-0,-0,https://www.amazon.com/gp/customer-reviews/R1R8D1NK9NEIS5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01076JRQE,Color: Dark Blue Sea Friends
"Reviewed in the United States on June 15, 2020",Casey Anderson,yes,yes,Great product but not great fit,It seems a lot of the reviewers don’t understand that swim diapers are not meant to hold pee. It’s super cute and nicely built but my son is skinny and only weighs 25 lbs. even on the biggest snap settings it kept falling down his waist and left very deep imprints on his skin. Besides the fit everything else was great. Will probably have to return as it doesn’t seem to comfortable on him.,3,-0,-0,https://www.amazon.com/gp/customer-reviews/R2WRSZILUMOAZ5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on March 4, 2017",S. Engelbrecht,yes,yes,Permanent Poop Smell,"Used only once, and it did its job of keeping poo in the diaper and out of the pool -- which is why I gave it 2 stars. But I washed it immediately after, according to the care instructions, and it kept a permanent poop smell. I washed it 2 more times by machine and 2 more times by hand -- no luck. It still stinks so bad I can't bring myself to put it on my child again.It also fits too tight, even on the loosest setting, on my 50th percentile (normal weight) 1 year old. Bright red marks/indentations around the thighs, can't be comfortable.For what I paid for it, I'm very disappointed in its functionality.",2,-0,-0,https://www.amazon.com/gp/customer-reviews/R2S2JBOUHEZ3BP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on May 5, 2017",Lorraine J,yes,yes,Don't trust them!,Don't make the mistake of putting baby in these and placing them in your lap! I ended up soaked. I was waiting a short time while other babies were being dressed - maybe 10 minutes. I know I cant expect them to act like a regular diaper but thought they would manage a little urine before I could get her in the water. Will stick with disposable swim diapers from now on.  Will give Two stars because they appear to be well made and cute but unfortunately that doesn't do it for me.,2,-0,-0,https://www.amazon.com/gp/customer-reviews/R3SPI5M6TYHBV7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01076JRQE,Color: Dark Blue Sea Friends
"Reviewed in the United States on June 24, 2017",Natalee,yes,yes,"I like these, but it leaves kind of deep indentations ...","I like these, but it leaves kind of deep indentations on my 18 month old's skin from the snaps. They are a little too snug on her, even at the loosest setting.",3,-0,-0,https://www.amazon.com/gp/customer-reviews/R2HTT7N890G2RZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01076JRQE,Color: Dark Blue Sea Friends
"Reviewed in the United States on April 7, 2017",E. Trisch,yes,yes,Terrible. Disappointed. Save your money.,I don't usually write bad reviews. My son wasn't in this an hour and peed all over himself while we had his pool up and sprinklers going in the yard. Son is 14 months. Had the diaper on pretty tight to the point it left red marks when I took it off. Just on the second notch. He has a pretty small waist. Can't see how a normal toddler would feel comfortable even in the first notch... I think letting him go commando would have been more proficient than these. Definitely not something I would put on him at the public pool. I bought two with high hopes. Disappointed. I'll stick to my Little Swimmer disposables after trying these...,1,-0,-0,https://www.amazon.com/gp/customer-reviews/R2V26UKF7J9UWL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01076JRQE,Color: Dark Blue Sea Friends
"Reviewed in the United States on January 12, 2018",Chelsey,yes,yes,Three Stars,So cute! But we had to return because it did not fit our 2 year old (36lbs).,3,-0,-0,https://www.amazon.com/gp/customer-reviews/R3LOLV9IE87DE5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on August 25, 2017",Geena Palos,yes,yes,I bought this product for my 7 month old so ...,I bought this product for my 7 month old so she could sit in a baby pool. I put her in it then in her carseat to drive to the park and when i took her out of her carseat she was soaking wet and my carseat was too- she was wet with pee because this diaper doesnt absorb anything! She also had pooped and she was a mess. Just from the short ride over there! I threw the diaper away because ill never use it again,1,-0,-0,https://www.amazon.com/gp/customer-reviews/R2IS6L6L56ILDL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on July 1, 2019",Amanda Mitchell,yes,yes,Leaks!,Put this on my son and then sat him on my lap. He peed and it went straight through on to me as if he were naked. What?! I checked to make sure it was on snuggly and so did my husband. It happened again at the pool. I went back to iplay. There’s isn’t adjustable but it works.,1,-0,-0,https://www.amazon.com/gp/customer-reviews/R3GUQYCMXBMJK4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on July 5, 2016",T_dub,yes,yes,Three Stars,Cute but small. It just barely fits my 1.5 year old who is 25lbs.,3,-0,-0,https://www.amazon.com/gp/customer-reviews/R1FDU7RUXDHSSY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on June 2, 2018",Amazon Customer,yes,yes,Ibought this because I heard great things about it from the reviews,Ibought this because I heard great things about it from the reviews. Every time we use it my sons diaper is soaked when we get out of the pool and it weighs him down while swimming. I watched the “how to use” video on their site so I know I’m using it correctly.,1,-0,-0,https://www.amazon.com/gp/customer-reviews/R1XZBY60OVLXR4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on October 5, 2018",J. Lee,yes,yes,Buttons gave my son a blister,It gave my son a blister where the buttons are. I tried it again and it gave him bad red marks. My son is only 8month old.,1,-0,-0,https://www.amazon.com/gp/customer-reviews/R29I1WZNIWAVZQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on June 25, 2018",Jam F,yes,yes,LEAK within first minute...,"Unfortunately we were 0/2 with this diaper. Used it twice, and within a minute of putting it on, urine had leaked through the whole thing. Waste of money.",1,-0,-0,https://www.amazon.com/gp/customer-reviews/R3UYG3R0YDFQ0T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01076JRQE,Color: Dark Blue Sea Friends
"Reviewed in the United States on June 4, 2023",L. Bailey,yes,yes,Runs small,"I bought the 0-36m size for my son who is almost 2, weighs about 30 lbs. he is wearing size 2T, 3T is baggy on him.. but the 0-36m size is too small, won’t last us longer then a few weeks. Bummer.",3,-0,-0,https://www.amazon.com/gp/customer-reviews/R1LQEMBUUKATBP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01076JRQE,Color: Dark Blue Sea Friends
"Reviewed in the United States on March 23, 2023",Sana Vawda,yes,yes,Love it but super small!,I bought a larger size to last my son through the summer but we are still in the spring and we couldn't even get it up his thighs!,3,-0,-0,https://www.amazon.com/gp/customer-reviews/RNTOX8LA4HCL7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on February 26, 2023",KSU,yes,yes,Very small,Already to tight for my 6 month baby,3,-0,-0,https://www.amazon.com/gp/customer-reviews/R1D5P43FHAA5C3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B09Y69VQNR,Color: Anchors
"Reviewed in the United States on August 19, 2019",thrillhouse,yes,yes,Too Tight for 1 year old,I bought these when my son started infant swim lessons at 9 months old. Great idea since they're re-usable and environmentally friendly. I imagine our landfills are like 70% diapers. He never once pooped in these so I can't speak to the absorbency and effectiveness at all. Unfortunately they left red marks on his thighs even on the loosest configuration. Will try them again after he thins out as an older toddler or save for next kid who might be less thunderously thighed.,3,-0,-0,https://www.amazon.com/gp/customer-reviews/RBKT71Z48OQSY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on June 30, 2016",stacy,yes,yes,I love how cute this is,"I love how cute this is. The adjustable aspect is awesome as well. However I feel like it was made backwards. I put the tag in the back but it then snaps wrong/backwards. With mine it snaps to the back not to the front like a regular cloth diaper. With my newborn this makes for a difficult time trying to adjust it to fit around his waist. Maybe it is a defective one, but either way I will continue to use it. It does its job.",3,-0,-0,https://www.amazon.com/gp/customer-reviews/R3F1R52M0IDRZG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01076JRQE,Color: Dark Blue Sea Friends
"Reviewed in the United States on March 10, 2020",Dee,yes,yes,Just Ok,"It’s not at all absorbent. Liquid runs right through it. If you care about that, then I would recommend putting a reusable diaper underneath. However, it’s cute and adjustable. Also it serves its purpose for quick pool dips.",3,-0,-0,https://www.amazon.com/gp/customer-reviews/R1DW9PA1AOVEOO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01076JRQE,Color: Dark Blue Sea Friends
"Reviewed in the United States on May 7, 2018",Pauline Ho,yes,yes,Fits smaller then description,Was disappointed because my son is only 27lbs wearing size 4 diaper and this was too tight on him.  I tried it on the largest setting and he said it hurts him because the button by his hip is hurting him and it was too tight.  Was really hoping he would like it because i like the design and it does feel like it’s good material (which is why I gave it 2 stars).  However we have a swim lesson tomorrow and we don’t have a swim diaper for him now.  Just wish the description was more accurate.,2,-0,-0,https://www.amazon.com/gp/customer-reviews/R22YIO2FOTJWQ4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on April 6, 2019",Kate,yes,yes,Irritating buttons,"I was excited for a swim diaper like our cloth diapers, but the lining inside this swim diaper is so sheer that the plastic of the buttons underneath rub and irritate baby's belly. There is no way this could possibly be comfortable and there is no way to avoid it as there is no padding there at all. Two stars because the concept is good and the pattern cute. But we are returning and looking for something else that won't hurt my little guy while he plays in the pool.",2,-0,-0,https://www.amazon.com/gp/customer-reviews/R2TMBBGBTZ6DCW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on February 28, 2019",Shopper 0385,yes,yes,"Great concept, needs improvement",I appreciate the concept of this diaper. It just didn’t work for us. I tried to use this over the last 1.5 years without The elastic and snaps left red welts on my son. I found it difficult to figure out various snap configurations for him as he grew also. Would be helpful to have more detailed instructions.,2,-0,-0,https://www.amazon.com/gp/customer-reviews/R3TT79QWSFAPVF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on June 28, 2017",Chris B,yes,yes,"IPlay was a better choice, but size up on them","Cute. Not made for babies with thick thighs. Would not purchase again. IPlay was a better choice, but size up on them!",3,-0,-0,https://www.amazon.com/gp/customer-reviews/R1J7XJM7V6QWAY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01IMPF1E4,Color: Blue Sea Friends
"Reviewed in the United States on June 8, 2016",Livleen Kahlon,yes,yes,Three Stars,i like the diaper itself but its too tight for my 2.5 yr old. So It didnt work out..,3,-0,-0,https://www.amazon.com/gp/customer-reviews/R3PD8BCKM3VGB3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01076JRQE,Color: Dark Blue Sea Friends
"Reviewed in the United States on February 1, 2017",Norma D,yes,yes,Three Stars,"too small for my 30 pound, 14 month old baby.",3,-0,-0,https://www.amazon.com/gp/customer-reviews/R3F42FFD2GINDY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01IMPF1E4,Color: Blue Sea Friends
"Reviewed in the United States on May 4, 2017",Vidya,yes,yes,Not sure if it works,The diaper looks great and the quality looks great. however I'm not sure if the swim diaper is supposed to protect the actual diaper from getting wet? My daughters actual diaper got so soaked even with the swim diaper on,2,-0,-0,https://www.amazon.com/gp/customer-reviews/R3ALLU0U7577PN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on December 2, 2015",TD,yes,yes,Three Stars,"The pants work great, the buttons leave indents on her skin.",3,-0,-0,https://www.amazon.com/gp/customer-reviews/R2OMICQ9MCEMDB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01076JRQE,Color: Dark Blue Sea Friends
"Reviewed in the United States on April 29, 2019",Josefsara,yes,yes,Not worthy,"I really like it at first, very cute design but first is expensive compared to other brands and after couple times my son use it one of the clips came out.",1,-0,-0,https://www.amazon.com/gp/customer-reviews/R1Y5F4HIC3BGG0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01076JRQE,Color: Dark Blue Sea Friends
"Reviewed in the United States on October 7, 2016",Nicole Zeig,yes,yes,Why all the snaps?,All the snaps on it are just weird. I still don't understand their purpose.,2,-0,-0,https://www.amazon.com/gp/customer-reviews/R1K2W1E3R1ZWKS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on April 5, 2018",Emily Brownell,yes,yes,Snap broke after second use. Would not buy again ...,Snap broke after second use. Would not buy again. Its made in China and so you may as well just buy the cheaper version.,1,-0,-0,https://www.amazon.com/gp/customer-reviews/RERIR83ICUEEX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01KW1L8HK,Color: Dark Green
"Reviewed in the United States on November 25, 2017",ayman,yes,yes,One Star,leaking,1,-0,-0,https://www.amazon.com/gp/customer-reviews/R3FPS842G79KCI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01076JRQE,Color: Dark Blue Sea Friends
"Reviewed in the United States on April 22, 2020",Mary B,-0,yes,Run very small even with all the adjustments,My grandson is 11 months & 25 lbs. this diaper (24mo( was Way too small) notEven close to fitting him.,1,-0,-0,https://www.amazon.com/gp/customer-reviews/R23VG44ISFCXMQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on May 20, 2023",Emma Z Wilson,yes,-0,Pee go right through it.,"So my baby just wore this yesterday, good material, love the design, it’s adjustable yay! My husband and I with baby in the pool everything was great until we decide to have a snack, we put our baby in his jumper and all of the sudden there was a puddle of pee, I thought maybe I had forget to order an absorbing pad but I don’t think it says anywhere I need one. That’s the only thing, he hasn’t pooped in it, we’ll see.",3,-0,-0,https://www.amazon.com/gp/customer-reviews/R3SIXN0S2QLB4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on June 6, 2023",Patricia Rawlings ,yes,-0,Runs small,Runs small,3,-0,-0,https://www.amazon.com/gp/customer-reviews/RV1T9AE2SZC8J/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on August 6, 2022",Karlygash,yes,-0,You have to have a diaper on your child,Not waterproof. You have to put diaper.,3,-0,-0,https://www.amazon.com/gp/customer-reviews/R1PS1M6TY9KOLC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B0108JS8NI,Color: Fish White
"Reviewed in the United States on July 26, 2022",Samah Y,yes,-0,Doesn’t fit my 9 month old baby.,Should include a setting for a larger size,3,-0,-0,https://www.amazon.com/gp/customer-reviews/R1ZV8MF152QJER/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0108JS8NI,B01KW1L8HK,Color: Dark Green
