Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style,ai reason,ai status,ai result,human reason,human status,human result
"Reviewed in the United States on February 16, 2022",Rafael C.,yes,yes,The material of the net does not last long!,"I'm not happy about how long it last, as long as they'll keep replacing it!But the drama of sending it back all the time is a hassle. I own a pool route and I take really good care of my equipment but the netting frays easily.",2,-,-,https://www.amazon.com/gp/customer-reviews/R3CG66803B2CJ3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"The review violates Amazon's guideline on Seller, Order, or Shipping Feedback because it discusses the seller's replacement policy and the hassle of sending the product back.",Violation,yes,Not in violation,,
"Reviewed in the United States on June 25, 2018",Amazon Customer,yes,yes,A silt net that can't pick up silt,"Seems to be sturdy and I was initially pleased but the frame is shaped such that leading edge doesn't readily  remain in contact with the pool bottom.  And, because it's a hard plastic frame, there is no flexibility to make adjustments. As a result it is not very good at capturing silt on the bottom like my previous net was.",2,-,-,https://www.amazon.com/gp/customer-reviews/R3I47WRLYSLOBS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"The review potentially violates Amazon's guideline on Seller, Order, or Shipping Feedback because it discusses the product's packaging and performance, which should be shared through appropriate channels other than reviews.",Violation,maybe,"Maybe, but don't try to remove",,DO NOT REMOVE
"Reviewed in the United States on March 27, 2023",Richard C.,yes,yes,They don't uphold there warranty. I summited my warrenty and recieved noting.,You haven't upheld your product warrenty yet you continue to say you get a hundred percent replacement . I purchased my first one and it came apart and the I said well maybe it was my fault so I purchased another. I have now submitted a my warranty information and wS supposed to get a code I guess for replacement in my e-mail and all I have recieved is product information but no code or explanation of what is going on with my product warrenty. This is totally unacceptable for a product that advertises a lifetime warrenty.,1,-,-,https://www.amazon.com/gp/customer-reviews/R3JDFAML6NF816/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"This review potentially violates guidelines 1 (Seller, Order, or Shipping Feedback) and 12 (Solicitations). It discusses seller performance and customer service (guideline 1) and requests a replacement or explanation for the warranty issue (guideline 12).",Violation,maybe,Not in violation,,
"Reviewed in the United States on July 30, 2021",Todd D. Basler,yes,yes,Not impressed,The netting easily rips and have not been impressedPass my return time however I want to see if they have a warranty and replace it,1,-,-,https://www.amazon.com/gp/customer-reviews/R36ECKU97H2DGE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,The review potentially violates guideline 1 as it discusses ordering issues and potential returns.,,maybe,Not in violation,,
"Reviewed in the United States on April 13, 2019",Rowdie,-,yes,Not Impressed,"In two years this thing is falling apart.  Specifically, the fabric is disintegrating.  We don't store it in the sun and probably use it about once a month.  So less than 30 uses is my guess.  We usually store it in the shade.I'm getting another skimmer but I'm gonna get a different brand and perhaps a cheapie since this expensive one lasted about the same amount of time or less IMO.",1,-,-,https://www.amazon.com/gp/customer-reviews/R1IDNIRYML2U0X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"The review potentially violates Amazon's guideline on Seller, Order, or Shipping Feedback because it discusses the product's durability and mentions the brand and price.",Potentially in Violation,maybe,Not in violation,,
"Reviewed in the United States on May 28, 2020",Melinda,yes,yes,Mixed feelings,"The net is great for picking up very fine debris that other nets leave behind.  I don't think it's great for the bottom of the pool though, the plastic rim is too stiff and I just couldn't get the right angle to pick up anything on the pool floor. I will use it for skimming the top, it picks up tiny bugs and pollen that no other net has done.",3,-,-,https://www.amazon.com/gp/customer-reviews/REAM2H762LGT6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"The review potentially violates Amazon's guidelines because it discusses the product's performance on the bottom of the pool, which relates to individual experiences and is not focused on the product itself.",,maybe,Not in violation,,
"Reviewed in the United States on February 1, 2021",Ash,yes,yes,Not very sturdy.,Net disintegrated and fell apart.,2,-,-,https://www.amazon.com/gp/customer-reviews/RJOXNLPUNLNRC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,,,,Not in violation,,
"Reviewed in the United States on July 12, 2022",Tony Romanos,yes,yes,Not for sand,I bought it specifically to pick up sand from the pool. My inground pool is near a lagoon where wind blows sand into it. The Polaris gets heavy with sand sometimes and I purchased this net for quick cleaning.Does not work !!,1,-,-,https://www.amazon.com/gp/customer-reviews/R2A6MPM0O0NAMZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"The review potentially violates Amazon's guideline on Seller, Order, or Shipping Feedback because it discusses a specific experience with the product not working for picking up sand, which is related to the product's performance and functionality.",Violation,yes,Not in violation,,
"Reviewed in the United States on April 6, 2022",Roberto,yes,yes,Cheaply made. Way over-priced,Very expensive for the lack of quality. Way over-priced.Mine lasted two weeks.Poor poor quality.,1,-,-,https://www.amazon.com/gp/customer-reviews/R28K24AR2E8OKY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"This review potentially violates guideline 1 by discussing the product condition and quality, which is related to shipping and seller performance.",Violation,maybe,Not in violation,,
"Reviewed in the United States on June 26, 2021",Bruno,yes,yes,Not for algae,On item description said it will work with algae and that was the main reason I bought it. But it doesn't work,1,-,-,https://www.amazon.com/gp/customer-reviews/R1XGOFAUW6GYWS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"This review potentially violates guideline 1. It discusses the product's performance related to algae, which is not focusing on the product itself.",Violation,maybe,Not in violation,,
"Reviewed in the United States on April 1, 2022",by Justin,yes,yes,This does not catch pollen floating at the top of the pool,does great with everything else other than pollen floating at the top of the water.  Pollen just sifts through this net and spreads in the water.  :-(,3,-,-,https://www.amazon.com/gp/customer-reviews/R1KATOXP5UL8K7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"The review mentions the seller's product performance and its inability to catch pollen, which violates the guideline that reviews should focus on the product itself rather than individual experiences related to sellers.",Potentially Violation,maybe,Not in violation,,
"Reviewed in the United States on September 11, 2021",JPAD,yes,yes,Effective at capturing fine particles out of the pool,"The fine mesh material is effective at capturing fine particles as advertised. Durability appears to be good, but can't rate any higher at this time. Will have to see how it last over the season and into next.",3,-,-,https://www.amazon.com/gp/customer-reviews/R2AEHBJ6JYYXPN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"The review does not violate guidelines 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, or 14. However, it potentially violates guideline 8 (Sexual Content) as it mentions a pool (which could be interpreted as a sexual innuendo).",Maybe,maybe,Not in violation,,
"Reviewed in the United States on February 18, 2017",Morellwj3,yes,yes,Best I ever bought but the nets rip after the second season,"Love it, best rake and net I ever had. However it says lifetime warranty and the net rips after 2 years of use. Been using past 6 years and this was 3rd one.",3,-,-,https://www.amazon.com/gp/customer-reviews/R33TQ89TMJ50XW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"The review discusses the product condition and damage caused during shipping, which is not allowed according to Amazon's guidelines.",Violation,yes,Not in violation,,
"Reviewed in the United States on April 30, 2022",Jorge CoronadoJorge Coronado,yes,-,Broke after two weeks,After two weeks already has holes. I was excited that they offer lifetime warranty however something is wrong. I will request a refund,1,"https://m.media-amazon.com/images/I/81xau0hVsFL.jpg , https://m.media-amazon.com/images/I/81xau0hVsFL.jpg",-,https://www.amazon.com/gp/customer-reviews/ROQD7P883N3FA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"The review potentially violates guideline 1 by discussing the product condition and damage caused during shipping. It also potentially violates guideline 10 by focusing on requesting a refund, which can be seen as promotional content.",,maybe,Not in violation,,
"Reviewed in the United States on March 16, 2019",Brian J Lowrey,-,-,Net way to stiff,"Unless I use this net perfectly it ejects nearly as much as it picks up.  Would NEVER buy this product again.  Cant believe the great reviews here, its why I bought it.",1,-,-,https://www.amazon.com/gp/customer-reviews/R3J4U0OV9S9HFW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"The review discusses the buyer's individual experience with the seller and the reviews on Amazon, which violates Guideline #1.",Violation,yes,"Maybe, but don't try to remove",,DO NOT REMOVE
"Reviewed in Canada on June 23, 2023",Mikey G,yes,-,False Warranty,"I purchased the expensive pool net, seemed great until the stitching started coming out and the net started coming apart, only used it maybe 5 times, very disappointed, And they don't Honor there warranty, it's a scam, very upset 😡 waste of money",1,-,-,-,B01FSRNT66,Size: 17 Inch,This review potentially violates guidelines 1 and 6.,,maybe,Not in violation,,
"Reviewed in the United States on May 14, 2019",Gegeneis,yes,-,"ProTuff 17"" Pool Silt Net is a good quality net","The ProTuff 17"" Pool Silt Net has some good qualities and some just adequate qualities.  First,  it is a rugged net and it does an excellent job of skimming and holding things that are on top of the pool water.  The only critique I have is that the opening could be larger.  The Pool net does a marginal job at taking out silt and I think it would behoove ProTuff to  re-engineer the front gathering part of the net.  The design does not adequately gather the silt and small bugs (Potatoe bugs to exact) off the bottom.  If the front part was a bit longer and tilted more for gathering items off the bottom, It would be a ""can't be beat"" Pool Silt net.  To summarize: Excellent durability, Excellent top water debris collector, Average silt/particle scoop off bottom of pool.",3,-,-,https://www.amazon.com/gp/customer-reviews/R1ZJJJEZYU4I2D/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,,,,Not in violation,,
"Reviewed in the United States on September 11, 2021",Tony M,yes,-,Net too stiff,The “silt” net is a bit too stiff versus other silt nets I have owned. The net stiffness makes it difficult to shake out the debris from the net. Otherwise a sturdy well built pool skimmer despite being a little over priced.,3,-,-,https://www.amazon.com/gp/customer-reviews/R1Z9OBV9ZIDZ6G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"The review mentions the stiffness of the net, which could be considered a discussion of product condition and potentially shipping packaging. Additionally, the review mentions the price of the product, which could be seen as promotional content.",Potentially violates guideline 1 (Shipping packaging) and guideline 10 (Ads or Promotional Content).,maybe,Not in violation,,
"Reviewed in the United States on August 24, 2018",Amazon Customer,yes,-,Scanning,The lifetime warranty is useless for those that don't have the ability to scan.,3,-,-,https://www.amazon.com/gp/customer-reviews/R1QK46HQV5M822/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,The review violates guideline 1 by discussing the warranty and seller-related information rather than focusing on the product itself.,Violation,yes,Not in violation,,
"Reviewed in the United States on January 13, 2018",Leo2145,yes,-,Does rip eventually,Tough but does rip eventually. I will be putting that lifetime warranty to the test !,3,-,-,https://www.amazon.com/gp/customer-reviews/R1A64QJ1ZG4QTB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,"The review violates guideline 1 by discussing the product's durability and potential for ripping, which is related to the product condition and damage caused during shipping. It also potentially violates guideline 4 by repeating the phrase ""does rip eventually"" multiple times, which serves no meaningful purpose and lacks coherence.",In Violation,yes,Not in violation,,
"Reviewed in the United States on March 16, 2018",victor,yes,-,Three Stars,The net broke at the 3rd month.,3,-,-,https://www.amazon.com/gp/customer-reviews/R3V3XLKWHOC5RA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,This review potentially violates Guideline 1 as it discusses the product condition and damage caused during shipping.,In Violation,maybe,Not in violation,,
"Reviewed in the United States on December 16, 2016",R C.,yes,-,Three Stars,The Pentaire snap-on one worked better,3,-,-,https://www.amazon.com/gp/customer-reviews/RKH5UPYRSVIH7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B01FSRNT66,B01FSRNT66,Size: 17 Inch,The review discusses seller performance and customer service by comparing the product to another brand.,Violation,yes,,,
